NAME,TYPE,SLOT,CLASS,RACE,MATERIAL,SIZE,WEIGHT,VALUE,RENT,ML,ABILITIES,FLAGS,SPELL_NAME,SPELL_LVL,SPELL_REMAIN_CHG,SPELL_MAX_CHG,AP_APPLY,CUSTOM,BINDING,SOCKET_REMAIN,SOCKET_DICE1,SOCKET_DICE2,SOCKET_AC,SOCKET_PROF,ENCHANT_RENT_ADD,ENCHANT_AC_ADD,ENCHANT_DICE1_ADD,ENCHANT_DICE2_ADD,ENCHANT_SOCKETS_USED,DAM_TYPE,DAM_DICE,DAM_AVG,REQ_WEAP_SKILL,AFFECT,PROF_MOD,CAST,MOB,ZONE,ORIG_RAW
"a pale blue veil",ARMOR,HEAD,NONE,NONE,cotton,special,7,2630,2630,5,SENSE_LIFE,UNIQUE UNBREAKABLE,,,,,2,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,15MAXMANA,,,"A soothsayer","Bonne Terre","Object 'a pale blue veil', Item type: ARMOR
Can be worn on: TAKE HEAD
Class restrictions: NONE
Race restrictions: NONE
Object Material: cotton
Size: special
Weight: 7, Value: 2630, Rent: 2630, Min Level: 5
Item will give you following abilities:  SENSE_LIFE
Item is: UNIQUE UNBREAKABLE
AP-apply is 2
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   MAXMANA By 15"
"a cobalt key on a neck chain",KEY,NECK HOLD,NONE,NONE,cobalt,special,1,100,100,0,NONE,!RENT !DONATE !SELL,,,,,,,,,,,,,,,,,,,,,,,,,"The Quartermaster","Burning Talon","Object 'a cobalt key on a neck chain', Item type: KEY
Can be worn on: TAKE NECK HOLD 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: cobalt
Size: special
Weight: 1, Value: 100, Rent: 100, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !RENT !DONATE !SELL "
"a tarnished serpent headed bracelet",ARMOR,WRIST,ANTIPALADIN WARLOCK,NONE,brass,special,3,18000,4600,15,NONE,MAGIC UNBREAKABLE,,,,,5,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,5GAS_DMG 25MAXMANA 5POIS_DMG,,,"A ghastly enchanter","Burning Talon","Object 'a tarnished serpent headed bracelet', Item type: ARMOR
Can be worn on: TAKE WRIST 
Class restrictions: ANTIPALADIN WARLOCK 
Race restrictions: NONE 
Object Material: brass
Size: special
Weight: 3, Value: 18000, Rent: 4600, Min Level: 15
Item will give you following abilities:  NONE 
Item is: MAGIC UNBREAKABLE 
AP-apply is 5
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   GAS_DMG By 5
   POIS_DMG By 5
   MAXMANA By 25"
"a tarnished key",KEY,NECK HOLD,NONE,NONE,brass,special,1,100,100,0,NONE,!RENT !DONATE !SELL,,,,,,,,,,,,,,,,,,,,,,,,,"The ghost of Captain Fensclow","Burning Talon","Object 'a tarnished key', Item type: KEY
Can be worn on: TAKE NECK HOLD 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: brass
Size: special
Weight: 1, Value: 100, Rent: 100, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !RENT !DONATE !SELL "
"a mystical warder's emblem",WORN,TRINKET,NONE,NONE,chromium,special,1,35000,3500,20,NONE,UNIQUE UNBREAKABLE,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,25RESIST_DIVN,,,"in Buried Chest","Burning Talon","Object 'a mystical warder's emblem', Item type: WORN
Can be worn on: TAKE TRINKET 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: chromium
Size: special
Weight: 1, Value: 35000, Rent: 3500, Min Level: 20
Item will give you following abilities:  NONE 
Item is: UNIQUE UNBREAKABLE 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   RESIST_DIVN By 25"
"a shinobi cloak",ARMOR,ABOUT,NONE,NONE,cotton,normal,8,29000,2100,15,HIDE,UNIQUE UNBREAKABLE,,,,,4,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,1DAMROLL 1DEX 3MELEE_CRIT_DMG,,,"A Shinobi Assassin","Forbidden Empire","Object 'a shinobi cloak', Item type: ARMOR
Can be worn on: TAKE ABOUT 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: cotton
Size: normal
Weight: 8, Value: 29000, Rent: 2100, Min Level: 15
Item will give you following abilities:  HIDE 
Item is: UNIQUE UNBREAKABLE 
AP-apply is 4
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   DEX By 1
   DAMROLL By 1
   MELEE_CRIT_DMG By 3"
"a red woolen cloak",ARMOR,ABOUT,NONE,NONE,wool,normal,7,5000,1250,0,NONE,UNIQUE UNBREAKABLE,,,,,8,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,,,,"","","Object 'a red woolen cloak', Item type: ARMOR
Can be worn on: TAKE ABOUT 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: wool
Size: normal
Weight: 7, Value: 5000, Rent: 1250, Min Level: 0
Item will give you following abilities:  NONE 
Item is: UNIQUE UNBREAKABLE 
AP-apply is 8
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING"
"a sweet-smelling herbal potion",POTION,,NONE,NONE,glass,special,1,2400,600,0,NONE,UNIQUE UNBREAKABLE,,,,,,,,,,,,,,,,,,,,,,,,lvl(cure critic/cure critic/cure critic),"A Sslee priest","Swamp","Object 'a sweet-smelling herbal potion', Item type: POTION
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: glass
Size: special
Weight: 1, Value: 2400, Rent: 600, Min Level: 0
Item will give you following abilities:  NONE 
Item is: UNIQUE UNBREAKABLE 
Casts the following spells at level 15:
   cure critic
   cure critic
   cure critic"
"An obsidian long sword",WEAPON,WIELD,NONE,NONE,obsidian,normal,14,48020,9604,5,NONE,MAGIC MAIN_HAND_WPN,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,slash,4D6,14.0,slash attack,,,,"An Obsidian Guard","Mt Hate","Object 'An obsidian long sword', Item type: WEAPON
Can be worn on: TAKE WIELD 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: obsidian
Size: normal
Weight: 14, Value: 48020, Rent: 9604, Min Level: 5
Item will give you following abilities:  NONE 
Item is: MAGIC MAIN_HAND_WPN 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Damage Type: slash,  Damage Dice: '4D6', Average Damage 14.0.
Requires Weapon Skill: slash attack"
"a pair of obsidian gauntlets",ARMOR,HANDS,NONE,NONE,obsidian,large,5,2000,500,15,NONE,UNIQUE UNBREAKABLE,,,,,15,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,,,,"An Obsidian Guard","Mt Hate","Object 'a pair of obsidian gauntlets', Item type: ARMOR
Can be worn on: TAKE HANDS 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: obsidian
Size: large
Weight: 5, Value: 2000, Rent: 500, Min Level: 15
Item will give you following abilities:  NONE 
Item is: UNIQUE UNBREAKABLE 
AP-apply is 15
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING"
"the iron mask of sorrow",ARMOR,HEAD,NONE,NONE,iron,special,7,16000,4000,0,BAT_SONAR CURSE SILENCE,HUM CURSED UNIQUE UNBREAKABLE,,,,,1,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,-20MAXMOVE,,,"The king of trees","Tarin","Object 'the iron mask of sorrow', Item type: ARMOR
Can be worn on: TAKE HEAD 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: iron
Size: special
Weight: 7, Value: 16000, Rent: 4000, Min Level: 0
Item will give you following abilities:  BAT_SONAR CURSE SILENCE 
Item is: HUM CURSED UNIQUE UNBREAKABLE 
AP-apply is 1
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   MAXMOVE By -20"
"a silver hoop earring",ARMOR,HEAD,ANTIPALADIN BARD BERSERKER,NONE,silver,normal,4,40000,8200,20,DETECT_ALIGN,ANTI_GOOD UNBREAKABLE,,,,,3,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,2DAMROLL 15MAXHIT,,,"A phantasmal buccaneer, A skeletal prisoner","Burning Talon","Object 'a silver hoop earring', Item type: ARMOR
Can be worn on: TAKE HEAD 
Class restrictions: ANTIPALADIN BARD BERSERKER 
Race restrictions: NONE 
Object Material: silver
Size: normal
Weight: 4, Value: 40000, Rent: 8200, Min Level: 20
Item will give you following abilities:  DETECT_ALIGN 
Item is: ANTI_GOOD UNBREAKABLE 
AP-apply is 3
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   MAXHIT By 15
   DAMROLL By 2"
"a tiny vial of arcanaloth blood",ENCHANT_MATERIAL,,NONE,NONE,glass,special,1,3,2000,0,NONE,!DONATE !SELL UNBREAKABLE QUEST_ITEM,,,,,,,,,,,,,,,,,,,,,,4MAXMANA,,,random,random,"Object 'a tiny vial of arcanaloth blood', Item type: ENCHANT_MATERIAL
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: glass
Size: special
Weight: 1, Value: 3, Rent: 2000, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !DONATE !SELL UNBREAKABLE QUEST_ITEM 
   MAXMANA By 4"
"a bent cutlass",WEAPON,HOLD,NONE,NONE,iron,special,0,3400,100,5,NONE,HOLDABLE_WPN,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,slash,4D4,10.0,slash attack,-1CHA 3HITROLL,,,"A swashbuckling spectre","Burning Talon","Object 'a bent cutlass', Item type: WEAPON
Can be worn on: TAKE HOLD 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: iron
Size: special
Weight: 0, Value: 3400, Rent: 100, Min Level: 5
Item will give you following abilities:  NONE 
Item is: HOLDABLE_WPN 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Damage Type: slash,  Damage Dice: '4D4', Average Damage 10.0.
Requires Weapon Skill: slash attack
Can affect you as:
   HITROLL By 3
   CHA By -1"
"a gaijin katana",WEAPON,WIELD,FIGHTER SAMURAI BERSERKER,NONE,steel,normal,14,39000,6500,15,NONE,UNBREAKABLE MAIN_HAND_WPN,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,pierce,5D6,17.5,pierce attack,2DAMROLL 1HITROLL,,,"A Ronin","Forbidden Empire","Object 'a gaijin katana', Item type: WEAPON
Can be worn on: TAKE WIELD 
Class restrictions: FIGHTER SAMURAI BERSERKER 
Race restrictions: NONE 
Object Material: steel
Size: normal
Weight: 14, Value: 39000, Rent: 6500, Min Level: 15
Item will give you following abilities:  NONE 
Item is: UNBREAKABLE MAIN_HAND_WPN 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Damage Type: pierce,  Damage Dice: '5D6', Average Damage 17.5.
Requires Weapon Skill: pierce attack
Can affect you as:
   DAMROLL By 2
   HITROLL By 1"
"a black wakizashi",WEAPON,WIELD,THIEF ANTIPALADIN SAMURAI,NONE,steel,normal,14,15000,1500,10,HIDE,UNBREAKABLE MAIN_HAND_WPN,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,pierce,1D10,5.5,pierce attack,3DAMROLL 2HITROLL 4MELEE_CRIT_DMG,,,"A Shinobi Assassin","Forbidden Empire","Object 'a black wakizashi', Item type: WEAPON
Can be worn on: TAKE WIELD 
Class restrictions: THIEF ANTIPALADIN SAMURAI 
Race restrictions: NONE 
Object Material: steel
Size: normal
Weight: 14, Value: 15000, Rent: 1500, Min Level: 10
Item will give you following abilities:  HIDE 
Item is: UNBREAKABLE MAIN_HAND_WPN 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Damage Type: pierce,  Damage Dice: '1D10', Average Damage 5.5.
Requires Weapon Skill: pierce attack
Can affect you as:
   DAMROLL By 3
   HITROLL By 2
   MELEE_CRIT_DMG By 4"
"a cary coat",ARMOR,ABOUT,NONE,NONE,wool,normal,5,10000,2500,0,NONE,UNIQUE UNBREAKABLE,,,,,7,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,,,,"","","Object 'a cary coat', Item type: ARMOR
Can be worn on: TAKE ABOUT 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: wool
Size: normal
Weight: 5, Value: 10000, Rent: 2500, Min Level: 0
Item will give you following abilities:  NONE 
Item is: UNIQUE UNBREAKABLE 
AP-apply is 7
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING"
"a pair of mossy green tights",ARMOR,LEGS,NONE,NONE,silk,normal,12,28000,7000,0,NONE,NONE,,,,,6,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,2HITROLL,,,"","","Object 'a pair of mossy green tights', Item type: ARMOR
Can be worn on: TAKE LEGS 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: silk
Size: normal
Weight: 12, Value: 28000, Rent: 7000, Min Level: 0
Item will give you following abilities:  NONE 
Item is: NONE 
AP-apply is 6
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   HITROLL By 2"
"a pair of leather shin guards",ARMOR,LEGS,NONE,NONE,leather,special,3,435,180,0,NONE,UNBREAKABLE,,,,,3,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,,,,"An inexperienced trainee, A trainee, A reserved trainee","Training Grounds","Object 'a pair of leather shin guards', Item type: ARMOR
Can be worn on: TAKE LEGS 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: leather
Size: special
Weight: 3, Value: 435, Rent: 180, Min Level: 0
Item will give you following abilities:  NONE 
Item is: UNBREAKABLE 
AP-apply is 3
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING"
"an old long bow",WEAPON,WIELD,NONE,NONE,wood,special,5,100,50,0,NONE,TWO_HANDED_WPN UNBREAKABLE,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,pierce,1D6,3.5,special attack,,,,"","","Object 'an old long bow', Item type: WEAPON
Can be worn on: TAKE WIELD 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: wood
Size: special
Weight: 5, Value: 100, Rent: 50, Min Level: 0
Item will give you following abilities:  NONE 
Item is: TWO_HANDED_WPN UNBREAKABLE 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Damage Type: pierce,  Damage Dice: '1D6', Average Damage 3.5.
Requires Weapon Skill: special attack"
"a withered long bow",WEAPON,WIELD,NONE,NONE,wood,special,5,100,50,0,NONE,TWO_HANDED_WPN UNBREAKABLE,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,pierce,1D6,3.5,special attack,,,,"An honorable trainee","Training Grounds","Object 'a withered long bow', Item type: WEAPON
Can be worn on: TAKE WIELD 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: wood
Size: special
Weight: 5, Value: 100, Rent: 50, Min Level: 0
Item will give you following abilities:  NONE 
Item is: TWO_HANDED_WPN UNBREAKABLE 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Damage Type: pierce,  Damage Dice: '1D6', Average Damage 3.5.
Requires Weapon Skill: special attack"
"the Taskmaster's gloves",ARMOR,HANDS,NONE,NONE,leather,special,2,1000,100,0,NONE,GLOW !DONATE,,,,,2,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,6MAXHIT,,,"","","Object 'the Taskmaster's gloves', Item type: ARMOR
Can be worn on: TAKE HANDS 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: leather
Size: special
Weight: 2, Value: 1000, Rent: 100, Min Level: 0
Item will give you following abilities:  NONE 
Item is: GLOW !DONATE 
AP-apply is 2
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   MAXHIT By 6"
"some dirty cotton gloves",ARMOR,HANDS,NONE,NONE,leather,special,5,100,50,0,NONE,UNBREAKABLE,,,,,2,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,-1CHA 1CON,,,"A trainee, An honorable trainee, An inexperienced trainee, A reserved trainee","Training Grounds","Object 'some dirty cotton gloves', Item type: ARMOR
Can be worn on: TAKE HANDS 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: leather
Size: special
Weight: 5, Value: 100, Rent: 50, Min Level: 0
Item will give you following abilities:  NONE 
Item is: UNBREAKABLE 
AP-apply is 2
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   CON By 1
   CHA By -1"
"a single broken sabaton",ARMOR,FEET,NONE,NONE,iron,special,5,280,100,0,NONE,UNBREAKABLE,,,,,2,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,,,,"An inexperienced trainee, A trainee, An honorable trainee, A reserved trainee","Training Grounds","Object 'a single broken sabaton', Item type: ARMOR
Can be worn on: TAKE FEET 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: iron
Size: special
Weight: 5, Value: 280, Rent: 100, Min Level: 0
Item will give you following abilities:  NONE 
Item is: UNBREAKABLE 
AP-apply is 2
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING"
"a suit of battered leather armor",ARMOR,BODY,NONE,NONE,leather,special,5,400,200,0,NONE,UNBREAKABLE,,,,,4,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,10ARMOR_POINTS,,,"An honorable trainee, An inexperienced trainee","Training Grounds","Object 'a suit of battered leather armor', Item type: ARMOR
Can be worn on: TAKE BODY 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: leather
Size: special
Weight: 5, Value: 400, Rent: 200, Min Level: 0
Item will give you following abilities:  NONE 
Item is: UNBREAKABLE 
AP-apply is 4
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   ARMOR_POINTS By 10"
"a small wooden mace",WEAPON,WIELD,NONE,NONE,wood,special,3,500,150,0,NONE,UNBREAKABLE MAIN_HAND_WPN,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,bludgeon,1D4,2.5,bludgeon attack,,,,"An inexperienced trainee","Training Grounds","Object 'a small wooden mace', Item type: WEAPON
Can be worn on: TAKE WIELD 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: wood
Size: special
Weight: 3, Value: 500, Rent: 150, Min Level: 0
Item will give you following abilities:  NONE 
Item is: UNBREAKABLE MAIN_HAND_WPN 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Damage Type: bludgeon,  Damage Dice: '1D4', Average Damage 2.5.
Requires Weapon Skill: bludgeon attack"
"a suit of dented plate mail armor",ARMOR,BODY,NONE,NONE,iron,special,8,900,250,0,NONE,UNBREAKABLE,,,,,7,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,8ARMOR_POINTS,,,"An inexperienced trainee, A trainee","Training Grounds","Object 'a suit of dented plate mail armor', Item type: ARMOR
Can be worn on: TAKE BODY 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: iron
Size: special
Weight: 8, Value: 900, Rent: 250, Min Level: 0
Item will give you following abilities:  NONE 
Item is: UNBREAKABLE 
AP-apply is 7
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   ARMOR_POINTS By 8"
"a sacrificial dagger",WEAPON,WIELD HOLD,NONE,NONE,copper,special,13,1560,1560,0,NONE,UNIQUE UNBREAKABLE HOLDABLE_WPN,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,pierce,1D5,3.0,pierce attack,2DAMROLL 2HITROLL,,,"","","Object 'a sacrificial dagger', Item type: WEAPON
Can be worn on: TAKE WIELD HOLD 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: copper
Size: special
Weight: 13, Value: 1560, Rent: 1560, Min Level: 0
Item will give you following abilities:  NONE 
Item is: UNIQUE UNBREAKABLE HOLDABLE_WPN 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Damage Type: pierce,  Damage Dice: '1D5', Average Damage 3.0.
Requires Weapon Skill: pierce attack
Can affect you as:
   HITROLL By 2
   DAMROLL By 2"
"a suit of camouflage armor",ARMOR,BODY,RANGER,NONE,leather,normal,6,35000,8750,30,CLOAK_OF_SHADOWS,MAGIC UNBREAKABLE,,,,,6,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,1DAMROLL,,,"The Ranger Lieutenant","Sylvan Jungle","Object 'a suit of camouflage armor', Item type: ARMOR
Can be worn on: TAKE BODY 
Class restrictions: RANGER 
Race restrictions: NONE 
Object Material: leather
Size: normal
Weight: 6, Value: 35000, Rent: 8750, Min Level: 30
Item will give you following abilities:  CLOAK_OF_SHADOWS 
Item is: MAGIC UNBREAKABLE 
AP-apply is 6
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   DAMROLL By 1"
"a dull long sword",WEAPON,WIELD,NONE,NONE,iron,special,8,1200,280,0,NONE,UNBREAKABLE MAIN_HAND_WPN,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,slash,1D6,3.5,slash attack,,,,"A trainee","Training Grounds","Object 'a dull long sword', Item type: WEAPON
Can be worn on: TAKE WIELD 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: iron
Size: special
Weight: 8, Value: 1200, Rent: 280, Min Level: 0
Item will give you following abilities:  NONE 
Item is: UNBREAKABLE MAIN_HAND_WPN 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Damage Type: slash,  Damage Dice: '1D6', Average Damage 3.5.
Requires Weapon Skill: slash attack"
"a small dagger",WEAPON,WIELD,NONE,NONE,iron,special,3,680,250,0,NONE,MAIN_HAND_WPN,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,pierce,1D4,2.5,pierce attack,,,,"An inexperienced trainee","Training Grounds","Object 'a small dagger', Item type: WEAPON
Can be worn on: TAKE WIELD 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: iron
Size: special
Weight: 3, Value: 680, Rent: 250, Min Level: 0
Item will give you following abilities:  NONE 
Item is: MAIN_HAND_WPN 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Damage Type: pierce,  Damage Dice: '1D4', Average Damage 2.5.
Requires Weapon Skill: pierce attack"
"a ragged suit of leather armor",ARMOR,BODY,NONE,NONE,leather,special,5,100,50,0,NONE,UNBREAKABLE,,,,,3,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,,,,"","","Object 'a ragged suit of leather armor', Item type: ARMOR
Can be worn on: TAKE BODY 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: leather
Size: special
Weight: 5, Value: 100, Rent: 50, Min Level: 0
Item will give you following abilities:  NONE 
Item is: UNBREAKABLE 
AP-apply is 3
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING"
"a long iron axe",WEAPON,WIELD,NONE,NONE,iron,special,12,1200,400,0,NONE,TWO_HANDED_WPN UNBREAKABLE,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,slash,1D6,3.5,slash attack,,,,"A reserved trainee","Training Grounds","Object 'a long iron axe', Item type: WEAPON
Can be worn on: TAKE WIELD 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: iron
Size: special
Weight: 12, Value: 1200, Rent: 400, Min Level: 0
Item will give you following abilities:  NONE 
Item is: TWO_HANDED_WPN UNBREAKABLE 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Damage Type: slash,  Damage Dice: '1D6', Average Damage 3.5.
Requires Weapon Skill: slash attack"
"A ring of the Order of the Rose",TREASURE,,NONE,NONE,gold,special,1,0,0,0,NONE,!RENT !DONATE ANTI_GOOD ANTI_EVIL !SELL UNIQUE UNBREAKABLE,,,,,,,,,,,,,,,,,,,,,,,,,"The Guildmaster","Midgaard","Object 'A ring of the Order of the Rose', Item type: TREASURE
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: gold
Size: special
Weight: 1, Value: 0, Rent: 0, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !RENT !DONATE ANTI_GOOD ANTI_EVIL !SELL UNIQUE UNBREAKABLE "
"A training weapon",WEAPON,,NONE,NONE,unknown,special,0,0,0,0,NONE,!DONATE QUEST_ITEM,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,hit,0D0,0.0,UNDEFINED,,,,"A reserved trainee, An inexperienced trainee, A trainee, An honorable trainee","Training Grounds","Object 'A training weapon', Item type: WEAPON
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: unknown
Size: special
Weight: 0, Value: 0, Rent: 0, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !DONATE QUEST_ITEM 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Damage Type: hit,  Damage Dice: '0D0', Average Damage 0.0.
Requires Weapon Skill: UNDEFINED"
"The Taskmaster's Sword",WEAPON,WIELD HOLD,MAGIC_USER CLERIC THIEF FIGHTER BARD RANGER DRUID BERSERKER WARRIOR PRIEST WIZARD ROGUE,NONE,steel,special,5,900,350,0,NONE,UNBREAKABLE MAIN_HAND_WPN,,,,,,UNCUSTOMIZABLE,BIND_ON_EQUIP,,,,,,,,,,,slash,2D4,5.0,slash attack,2HIT_GAIN 2MANA_GAIN,,,"","","Object 'The Taskmaster's Sword', Item type: WEAPON
Can be worn on: TAKE WIELD HOLD 
Class restrictions: MAGIC_USER CLERIC THIEF FIGHTER BARD RANGER DRUID BERSERKER WARRIOR PRIEST WIZARD ROGUE 
Race restrictions: NONE 
Object Material: steel
Size: special
Weight: 5, Value: 900, Rent: 350, Min Level: 0
Item will give you following abilities:  NONE 
Item is: UNBREAKABLE MAIN_HAND_WPN 
Customizations: UNCUSTOMIZABLE
Bindings: BIND_ON_EQUIP
Damage Type: slash,  Damage Dice: '2D4', Average Damage 5.0.
Requires Weapon Skill: slash attack
Can affect you as:
   HIT_GAIN By 2
   MANA_GAIN By 2"
"a rusty iron helm",ARMOR,HEAD,NONE,NONE,iron,special,15,3200,450,0,NONE,UNBREAKABLE,,,,,6,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,,,,"The goblin soldier","Goblin Caves","Object 'a rusty iron helm', Item type: ARMOR
Can be worn on: TAKE HEAD 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: iron
Size: special
Weight: 15, Value: 3200, Rent: 450, Min Level: 0
Item will give you following abilities:  NONE 
Item is: UNBREAKABLE 
AP-apply is 6
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING"
"a rusty breast plate",ARMOR,BODY,NONE,NONE,iron,special,40,25000,3500,0,NONE,UNBREAKABLE,,,,,7,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,,,,"The goblin soldier, The goblin guard","Goblin Caves","Object 'a rusty breast plate', Item type: ARMOR
Can be worn on: TAKE BODY 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: iron
Size: special
Weight: 40, Value: 25000, Rent: 3500, Min Level: 0
Item will give you following abilities:  NONE 
Item is: UNBREAKABLE 
AP-apply is 7
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING"
